# Copyright (C) 1991-2013 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II 64-Bit Version 13.1.0 Build 162 10/23/2013 SJ Web Edition
# File: C:\Users\gusta\Documents\MEGA\EngdeComputacao\Logica_Rec\Exercicios LR\Exercicio_10\ex2\ex2.csv
# Generated on: Wed Oct 31 17:59:11 2018

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair
ab,Output,PIN_J1,1,B1_N1,PIN_J1,,,,,
bd,Input,PIN_H2,1,B1_N1,PIN_H2,,,,,
bt,Input,PIN_G3,1,B1_N0,PIN_G3,,,,,
clk,Input,PIN_G21,6,B6_N1,PIN_G22,,,,,
dig[3],Input,PIN_G5,1,B1_N0,PIN_G4,,,,,
dig[2],Input,PIN_H6,1,B1_N0,PIN_H6,,,,,
dig[1],Input,PIN_H5,1,B1_N0,PIN_H5,,,,,
dig[0],Input,PIN_J6,1,B1_N0,PIN_J6,,,,,
l1,Output,PIN_B1,1,B1_N0,PIN_B1,,,,,
l2,Output,PIN_B2,1,B1_N0,PIN_B2,,,,,
l3,Output,PIN_C2,1,B1_N0,PIN_C2,,,,,
rst,Input,PIN_F1,1,B1_N0,PIN_F1,,,,,
led_rst,Output,PIN_J2,1,B1_N1,PIN_J2,,,,,
